ncaa_name,espn_name,kaggle_name,conference,primary_color,secondary_color,tertiary_color,color_4,color_5,color_6,logo_url,color_3
Austin Peay,Austin Peay,Austin Peay,OVC,#BA0C2F,#000000,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/a/a8/Austin_Peay_Governors_logo.svg/262px-Austin_Peay_Governors_logo.svg.png,
Ball St.,Ball State,Ball St,MAC,#BA0C2F,#000000,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/e/e4/Ball_State_Cardinals_logo.svg/170px-Ball_State_Cardinals_logo.svg.png,
Baylor,Baylor,Baylor,Big 12,#003015,#FECB00,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/2018_Baylor_Athletics_Logo.png/208px-2018_Baylor_Athletics_Logo.png,
Bellarmine,Bellarmine,Bellarmine,A-Sun,#752936,#4d4d4d,,,,,https://upload.wikimedia.org/wikipedia/en/4/4e/Bellarmine_Knights_logo.svg,#c8c8c8
Belmont,Belmont,Belmont,OVC,#002469,#C9262D,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/d/d6/Belmont_Bruins_logo.svg/251px-Belmont_Bruins_logo.svg.png,
Bethune-Cookman,Bethune-Cookman,Bethune-Cookman,MEAC,#6F263D,#F2A900,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Bethune%E2%80%93Cookman_Wildcats_logo.svg/230px-Bethune%E2%80%93Cookman_Wildcats_logo.svg.png,
Binghamton,Binghamton,Binghamton,Am. East,#005A43,#169B62,#BF0D3E,#B1B3B3,,,https://upload.wikimedia.org/wikipedia/en/thumb/d/d8/Binghamton_Bearcats_logo.svg/320px-Binghamton_Bearcats_logo.svg.png,
Boise St.,Boise State,Boise St,MWC,#D64309,#0033A0,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/4/40/Boise_State_Broncos_logo.svg/291px-Boise_State_Broncos_logo.svg.png,
Boston College,Boston College,Boston College,ACC,#98002E,#BC9B6A,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/9/96/Boston_College_Eagles_logo.svg/264px-Boston_College_Eagles_logo.svg.png,
Boston U.,Boston U,Boston Univ,Patriot,#CC0000,#FFFFFF,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/1/15/Boston_University_Terriers_logo.svg/262px-Boston_University_Terriers_logo.svg.png,
Bowling Green,Bowling Green,Bowling Green,MAC,#FE5000,#4F2C1D,#CDA077,#000000,,,https://upload.wikimedia.org/wikipedia/en/thumb/2/2b/Bowling_Green_Falcons_logo.svg/257px-Bowling_Green_Falcons_logo.svg.png,
Bradley,Bradley,Bradley,MVC,#A50000,#999999,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Bradley_Braves_logo.svg/200px-Bradley_Braves_logo.svg.png,
Brown,Brown,Brown,Ivy,#4E3629,#FFFFFF,#7C2529,#E4002B,#000000,,https://upload.wikimedia.org/wikipedia/en/thumb/d/dd/Brown_Bears_logo.svg/220px-Brown_Bears_logo.svg.png,
Bryant,Bryant,Bryant,NEC,#231F20,#B09863,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/c/ca/Bryant_Bulldogs_logo.svg/296px-Bryant_Bulldogs_logo.svg.png,
Bucknell,Bucknell,Bucknell,Patriot,#EF5B0C,#003865,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/3/3a/Bucknell_Bison_logo.svg/286px-Bucknell_Bison_logo.svg.png,
Buffalo,Buffalo,Buffalo,MAC,#005BBB,#FFFFFF,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Buffalo_Bulls_logo.svg/320px-Buffalo_Bulls_logo.svg.png,
Butler,Butler,Butler,Big East,#13294B,#747678,#D1E0D7,#000000,,,https://upload.wikimedia.org/wikipedia/en/thumb/0/06/Butler_Bulldogs_logo.svg/245px-Butler_Bulldogs_logo.svg.png,
BYU,BYU,BYU,WCC,#002255,#C5AF7D,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/BYU_Cougars_logo.svg/320px-BYU_Cougars_logo.svg.png,
Cal Poly,Cal Poly,Cal Poly,Big West,#003831,#FFE395,#B38F4F,#000000,,,https://upload.wikimedia.org/wikipedia/en/thumb/0/0e/Cal_Poly_Mustangs_logo.svg/320px-Cal_Poly_Mustangs_logo.svg.png,
Cal St. Fullerton,CSU Fullerton,CS Fullerton,Big West,#00274C,#DC8218,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Cal_State_Fullerton_Titans_logo.svg/200px-Cal_State_Fullerton_Titans_logo.svg.png,
California,Cal,California,Pac 12,#003262,#FDB515,#3B7EA1,#C4820E,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/California_Golden_Bears_logo.svg/200px-California_Golden_Bears_logo.svg.png,
California Baptist,Cal Baptist,Cal Baptist,WAC,#002554,#A37400,#AC451E,,,,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/California_Baptist_Lancers_logo.svg/320px-California_Baptist_Lancers_logo.svg.png,
Campbell,Campbell,Campbell,Big South,#E87722,#000000,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/8/84/Campbell_Fighting_Camels_logo.svg/320px-Campbell_Fighting_Camels_logo.svg.png,
Canisius,Canisius,Canisius,MAAC,#0C2340,#FFBA00,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/d/dd/Canisius_Golden_Griffins.svg/216px-Canisius_Golden_Griffins.svg.png,
Central Ark.,Cent Arkansas,Cent Arkansas,Southland,#4F2D7F,#818A8F,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/6/6d/Central_Arkansas_Athletics_logo.svg/293px-Central_Arkansas_Athletics_logo.svg.png,
Central Conn. St.,Cent Conn St,Central Conn,NEC,#1A4784,#FFFFFF,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/9/90/Central_Connecticut_Blue_Devils_logo.svg/264px-Central_Connecticut_Blue_Devils_logo.svg.png,
Central Mich.,Cent Michigan,C Michigan,MAC,#6A0032,#FFC82E,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Central_Michigan_Chippewas_logo.svg/200px-Central_Michigan_Chippewas_logo.svg.png,
Charleston So.,Charleston So,Charleston So,Big South,#002855,#A89968,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/8/86/Charleston_Southern_Buccaneers_logo.svg/273px-Charleston_Southern_Buccaneers_logo.svg.png,
Charlotte,Charlotte,Charlotte,C-USA,#046A38,#B9975B,#27251F,,,,https://upload.wikimedia.org/wikipedia/en/thumb/3/33/Charlotte_49ers_logo.svg/223px-Charlotte_49ers_logo.svg.png,
Chattanooga,Chattanooga,Chattanooga,SoCon,#00386B,#E0AA0F,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Chattanooga_Mocs_logo.svg/272px-Chattanooga_Mocs_logo.svg.png,
Chicago St.,Chicago State,Chicago St,WAC,#006666,#000000,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/b/b2/Chicago_State_Cougars_logo.svg/246px-Chicago_State_Cougars_logo.svg.png,
Cincinnati,Cincinnati,Cincinnati,AAC,#E00122,#000000,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/2/2c/Cincinnati_Bearcats_logo.svg/153px-Cincinnati_Bearcats_logo.svg.png,
Clemson,Clemson,Clemson,ACC,#F56600,#522D80,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Clemson_Tigers_logo.svg/251px-Clemson_Tigers_logo.svg.png,
Cleveland St.,Cleveland State,Cleveland St,Horizon,#006747,#000000,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/7/70/Cleveland_State_Vikings_logo.svg/311px-Cleveland_State_Vikings_logo.svg.png,
