ncaa_name,espn_name,kaggle_name,conference,primary_color,secondary_color,tertiary_color,color_4,color_5,color_6,logo_url,color_3
Northwestern,Northwestern,Northwestern,Big 10,#4E2A84,#FFFFFF,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Northwestern_Wildcats_logo.svg/156px-Northwestern_Wildcats_logo.svg.png,
Northwestern St.,Northwestern St,Northwestern LA,Southland,#492F92,#F78426,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Northwestern_State_Demons_wordmark.svg/320px-Northwestern_State_Demons_wordmark.svg.png,
Notre Dame,Notre Dame,Notre Dame,ACC,#0C2340,#C99700,#AE9142,#00843D,,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Notre_Dame_Fighting_Irish_logo.svg/267px-Notre_Dame_Fighting_Irish_logo.svg.png,
Oakland,Oakland,Oakland,Horizon,#B59A57,#000000,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/8/86/Oakland_Golden_Grizzlies_logo.svg/303px-Oakland_Golden_Grizzlies_logo.svg.png,
Ohio,Ohio,Ohio,MAC,#00694E,#CDA077,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/7/78/Ohio_Bobcats_logo.svg/279px-Ohio_Bobcats_logo.svg.png,
Ohio St.,Ohio State,Ohio St,Big 10,#BB0000,#666666,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Ohio_State_Buckeyes_logo.svg/244px-Ohio_State_Buckeyes_logo.svg.png,
Oklahoma,Oklahoma,Oklahoma,Big 12,#841617,#FDF9D8,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Oklahoma_Sooners_logo.svg/186px-Oklahoma_Sooners_logo.svg.png,
Oklahoma St.,Oklahoma State,Oklahoma St,Big 12,#FF7300,#000000,#FF9900,#BEBEBE,,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Oklahoma_State_University_system_logo.svg/320px-Oklahoma_State_University_system_logo.svg.png,
Old Dominion,Old Dominion,Old Dominion,C-USA,#003057,#92C1E9,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Old_Dominion_Athletics_logo.svg/284px-Old_Dominion_Athletics_logo.svg.png,
Ole Miss,Ole Miss,Mississippi,SEC,#CE1126,#14213D,#FFFFFF,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Ole_Miss_Rebels_logo.svg/320px-Ole_Miss_Rebels_logo.svg.png,
Omaha,Omaha,NE Omaha,Summit,#000000,#D71920,#636568,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Omaha_Mavericks_logo.svg/246px-Omaha_Mavericks_logo.svg.png,
Oral Roberts,Oral Roberts,Oral Roberts,Summit,#002F60,#C5B783,#A28E2A,,,,https://upload.wikimedia.org/wikipedia/en/thumb/d/d8/Oral_Roberts_Golden_Eagles_logo.svg/320px-Oral_Roberts_Golden_Eagles_logo.svg.png,
Oregon,Oregon,Oregon,Pac 12,#154733,#FEE123,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Oregon_Ducks_logo.svg/290px-Oregon_Ducks_logo.svg.png,
Oregon St.,Oregon State,Oregon St,Pac 12,#DC4405,#000000,#FFFFFF,,,,https://upload.wikimedia.org/wikipedia/en/thumb/1/1b/Oregon_State_Beavers_logo.svg/320px-Oregon_State_Beavers_logo.svg.png,
Pacific,Pacific,Pacific,WCC,#E35205,#231F20,#D86018,#949A90,,,https://upload.wikimedia.org/wikipedia/en/thumb/5/5e/Pacific_Tigers_logo.svg/320px-Pacific_Tigers_logo.svg.png,
Penn,Penn,Penn,Ivy,#990000,#011F5B,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Penn_Quakers_logo.svg/197px-Penn_Quakers_logo.svg.png,
Penn St.,Penn State,Penn St,Big 10,#093162,#FFFFFF,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/3/3a/Penn_State_Nittany_Lions_logo.svg/320px-Penn_State_Nittany_Lions_logo.svg.png,
Pepperdine,Pepperdine,Pepperdine,WCC,#00205C,#EE7624,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Pepperdine_Waves_logo.svg/226px-Pepperdine_Waves_logo.svg.png,
Pittsburgh,Pitt,Pittsburgh,ACC,#1C2957,#CDB87D,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Pitt_Panthers_wordmark.svg/320px-Pitt_Panthers_wordmark.svg.png,
Portland,Portland,Portland,WCC,#1E1656,#5E6A71,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Portland_Pilots_logo.svg/213px-Portland_Pilots_logo.svg.png,
Portland St.,Portland State,Portland St,Big Sky,#154734,#FFFFFF,#373A36,#2C2A29,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Portland_State_Vikings_logo.svg/186px-Portland_State_Vikings_logo.svg.png,
Prairie View,PV A&M,Prairie View,SWAC,#330066,#FFCC33,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/0/05/Prairie_View_A%26M_Panthers_logo.svg/320px-Prairie_View_A%26M_Panthers_logo.svg.png,
Presbyterian,Presbyterian,Presbyterian,Big South,#0060A9,#9D2235,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Presbyterian_College_logo.svg/237px-Presbyterian_College_logo.svg.png,
Princeton,Princeton,Princeton,Ivy,#FF671F,#000000,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Princeton_Tigers_logo.svg/210px-Princeton_Tigers_logo.svg.png,
Providence,Providence,Providence,Big East,#000000,#8A8D8F,#FFFFFF,,,,https://upload.wikimedia.org/wikipedia/commons/5/5f/Providence_Friars_P_script_logo.gif,
Purdue,Purdue,Purdue,Big 10,#CEB888,#000000,#9D968D,#373A36,,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Purdue_Boilermakers_logo.svg/320px-Purdue_Boilermakers_logo.svg.png,
Purdue Fort Wayne,Fort Wayne,PFW,Summit,#002F6C,#000000,#63666A,#97999B,#BBBCBC,,https://upload.wikimedia.org/wikipedia/en/thumb/1/14/Purdue_Fort_Wayne_Mastodons_logo.svg/202px-Purdue_Fort_Wayne_Mastodons_logo.svg.png,
Quinnipiac,Quinnipiac,Quinnipiac,MAAC,#0A2240,#FFB819,,,,,https://upload.wikimedia.org/wikipedia/en/2/2c/Quinnipiac_Bobcats_logo.svg,
Radford,Radford,Radford,Big South,#C2011B,#808285,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Radford_Highlanders_logo.svg/284px-Radford_Highlanders_logo.svg.png,
Rhode Island,URI,Rhode Island,A-10,#68ABE8,#002147,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Rhode_Island_Rams_logo.svg/187px-Rhode_Island_Rams_logo.svg.png,
Rice,Rice,Rice,C-USA,#00205B,#C1C6C8,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Rice_Owls_logo.svg/200px-Rice_Owls_logo.svg.png,
Richmond,Richmond,Richmond,A-10,#000066,#990000,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Richmond_Spiders_logo.svg/175px-Richmond_Spiders_logo.svg.png,
Rider,Rider,Rider,MAAC,#981E32,#6C6F70,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/6/62/Rider_Broncs.svg/320px-Rider_Broncs.svg.png,
Robert Morris,Robert Morris,Robert Morris,Horizon,#14234B,#A6192E,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/a/af/Robert_Morris_Colonials_logo.svg/208px-Robert_Morris_Colonials_logo.svg.png,
Rutgers,Rutgers,Rutgers,Big 10,#CC0033,#5F6A72,#000000,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Rutgers_Scarlet_Knights_logo.svg/270px-Rutgers_Scarlet_Knights_logo.svg.png,
Sacramento St.,Sacramento St,CS Sacramento,Big Sky,#043927,#C4B581,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/6/61/Sacramento_State_Hornets_logo.svg/271px-Sacramento_State_Hornets_logo.svg.png,
Sacred Heart,Sacred Heart,Sacred Heart,NEC,#CD1041,#FFFFFF,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Sacred_Heart_Pioneers_logo.svg/320px-Sacred_Heart_Pioneers_logo.svg.png,
Saint Francis (PA),St Francis (PA),St Francis PA,NEC,#BD1F25,#FFFFFF,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Saint_Francis_Red_Flash_logo.svg/320px-Saint_Francis_Red_Flash_logo.svg.png,
Saint Joseph's,Saint Joe's,St Joseph's PA,A-10,#9E1B32,#6C6F70,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/7/76/Saint_Joseph%27s_Hawks_logo.svg/320px-Saint_Joseph%27s_Hawks_logo.svg.png,
Saint Louis,Saint Louis,St Louis,A-10,#003DA5,#C8C9C7,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Saint_Louis_Billikens_logo.svg/249px-Saint_Louis_Billikens_logo.svg.png,
Saint Mary's (CA),Saint Mary's,St Mary's CA,WCC,#D80024,#06315B,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Saint_Mary%27s_College_Gaels_logo.svg/300px-Saint_Mary%27s_College_Gaels_logo.svg.png,
Saint Peter's,St Peter's,St Peter's,MAAC,#003C71,#0072CE,#A59C94,#000000,,,https://upload.wikimedia.org/wikipedia/en/9/97/Saint_Peter%27s_Peacocks_logo.svg,
Sam Houston St.,Sam Houston,Sam Houston St,Southland,#F78E1E,#004990,,,,,https://upload.wikimedia.org/wikipedia/en/d/de/SHSU_athletics_logo.svg,
Samford,Samford,Samford,SoCon,#C4161D,#002649,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/Samford_Bulldogs_logo.svg/320px-Samford_Bulldogs_logo.svg.png,
San Diego,San Diego,San Diego,WCC,#002868,#84BCE8,#207BC1,,,,https://upload.wikimedia.org/wikipedia/commons/7/7e/San_Diego_Toreros_logo.svg,
San Diego St.,San Diego State,San Diego St,MWC,#A6192E,#000000,#FFFFFF,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/San_Diego_State_Aztecs_logo.svg/320px-San_Diego_State_Aztecs_logo.svg.png,
San Francisco,San Francisco,San Francisco,WCC,#FDBB30,#00543C,#919194,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/San_Francisco_Dons_logo.svg/200px-San_Francisco_Dons_logo.svg.png,
San Jose St.,San Jose State,San Jose St,MWC,#0055A2,#E5A823,#939597,,,,https://upload.wikimedia.org/wikipedia/en/thumb/e/ec/San_Jose_State_Spartans_logo.svg/233px-San_Jose_State_Spartans_logo.svg.png,
Santa Clara,Santa Clara,Santa Clara,WCC,#862633,#FFFFFF,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Santa_Clara_Broncos_logo.svg/185px-Santa_Clara_Broncos_logo.svg.png,
Seattle U,Seattle,Seattle,WAC,#AA0000,#333333,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Seattle_Redhawks_logo.svg/214px-Seattle_Redhawks_logo.svg.png,
Seton Hall,Seton Hall,Seton Hall,Big East,#004488,#A2AAAD,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/e/e1/Seton_Hall_Pirates_logo.svg/236px-Seton_Hall_Pirates_logo.svg.png,
SFA,SF Austin,SF Austin,Southland,#3F2A55,#FFFFFF,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Stephen_F._Austin_Athletics_wordmark.svg/240px-Stephen_F._Austin_Athletics_wordmark.svg.png,
Siena,Siena,Siena,MAAC,#FFC72C,#C8102E,#006747,#693F23,,,https://upload.wikimedia.org/wikipedia/commons/d/d0/Siena_Saints_wordmark.png,
SIUE,SIUE,SIUE,OVC,#CC0000,#FFFFFF,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/SIU_Edwardsville_Cougars_logo.svg/320px-SIU_Edwardsville_Cougars_logo.svg.png,
SMU,SMU,SMU,AAC,#CC0035,#354CA1,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/SMU_Mustang_logo.svg/320px-SMU_Mustang_logo.svg.png,
South Alabama,South Alabama,South Alabama,Sunbelt,#00205B,#BF0D3E,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/6/69/South_Alabama_Jaguars_logo.svg/303px-South_Alabama_Jaguars_logo.svg.png,
South Carolina,South Carolina,South Carolina,SEC,#73000A,#000000,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/South_Carolina_Gamecocks_logo.svg/219px-South_Carolina_Gamecocks_logo.svg.png,
South Carolina St.,S Carolina St,S Carolina St,MEAC,#841A2B,#1E4692,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/a/ac/South_Carolina_State_Bulldogs_logo.svg/197px-South_Carolina_State_Bulldogs_logo.svg.png,
South Dakota,South Dakota,South Dakota,Summit,#AD0000,#B4B4B4,#000000,,,,https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/South_Dakota_Coyotes_logo.svg/189px-South_Dakota_Coyotes_logo.svg.png,
South Dakota St.,South Dakota St,S Dakota St,Summit,#0033A0,#FFD100,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/2/25/South_Dakota_State_Jackrabbits_logo.svg/315px-South_Dakota_State_Jackrabbits_logo.svg.png,
South Fla.,USF,South Florida,AAC,#006747,#CFC493,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/c/c1/South_Florida_Bulls_logo.svg/300px-South_Florida_Bulls_logo.svg.png,
Southeast Mo. St.,SE Missouri St,SE Missouri St,OVC,#C8102E,#000000,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/b/bb/Southeast_Missouri_State_Redhawks_logo.svg/316px-Southeast_Missouri_State_Redhawks_logo.svg.png,
Southeastern La.,SE Louisiana,SE Louisiana,Southland,#006341,#EAAA00,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/3/33/Southeastern_Louisiana_Lions_logo.svg/279px-Southeastern_Louisiana_Lions_logo.svg.png,
Southern California,USC,USC,Pac 12,#FFC72C,#990000,#FFC72C,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/USC_Trojans_logo.svg/161px-USC_Trojans_logo.svg.png,
Southern Ill.,S Illinois,S Illinois,MVC,#720000,#000000,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/9/9f/Southern_Illinois_Salukis_logo.svg/320px-Southern_Illinois_Salukis_logo.svg.png,
Southern Miss.,Southern Miss,Southern Miss,C-USA,#000000,#FFAB00,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/5/5d/Southern_Miss_Athletics_logo.svg/320px-Southern_Miss_Athletics_logo.svg.png,
Southern U.,Southern,Southern Univ,SWAC,#69B3E7,#FFC72C,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/7/76/Southern_Jaguars_logo.svg/273px-Southern_Jaguars_logo.svg.png,
Southern Utah,Southern Utah,Southern Utah,Big Sky,#000000,#FFFFFF,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/e/e7/Southern_Utah_Thunderbirds_logo.svg/320px-Southern_Utah_Thunderbirds_logo.svg.png,
St. Bonaventure,St Bonaventure,St Bonaventure,A-10,#54261A,#FDB726,#BDB6B0,,,,https://upload.wikimedia.org/wikipedia/en/thumb/9/9c/St._Bonaventure_Bonnies_logo.svg/320px-St._Bonaventure_Bonnies_logo.svg.png,
St. Francis Brooklyn,St Francis (BKN),St Francis NY,NEC,#0038A8,#CE1126,,,,,https://upload.wikimedia.org/wikipedia/en/e/e2/St._Francis_Brooklyn_Terriers_logo.svg,
St. John's (NY),St John's,St John's,Big East,#BA0C2F,#041C2C,#A7A8AA,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/St._John%27s_Red_Storm_logo.svg/172px-St._John%27s_Red_Storm_logo.svg.png,
Stanford,Stanford,Stanford,Pac 12,#8C1515,#FFFFFF,#4D4F53,#2E2D29,#007662,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Stanford_Cardinal_logo.svg/157px-Stanford_Cardinal_logo.svg.png,
Stetson,Stetson,Stetson,A-Sun,#006747,#B58150,#9E652E,#000000,,,https://upload.wikimedia.org/wikipedia/en/1/17/Stetson_Hatters_logo_%282018%29.png,
Stony Brook,Stony Brook,Stony Brook,Am. East,#990000,#16243E,#828282,,,,https://upload.wikimedia.org/wikipedia/en/thumb/3/35/Stony_Brook_Seawolves_logo.svg/320px-Stony_Brook_Seawolves_logo.svg.png,
Syracuse,Syracuse,Syracuse,ACC,#D44500,#3E3D3C,#6F777D,#ADB3B8,#3E3D3C,#0D1D37,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Syracuse_Orange_logo.svg/177px-Syracuse_Orange_logo.svg.png,
Tarleton St.,Tarleton,Tarleton St,WAC,#4F2D7F,white,,,,,https://upload.wikimedia.org/wikipedia/commons/5/56/Tarleton_State_athletics_logo.svg,
TCU,TCU,TCU,Big 12,#4D1979,#A3A9AC,#FFFFFF,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/TCU_Horned_Frogs_logo.svg/320px-TCU_Horned_Frogs_logo.svg.png,
Temple,Temple,Temple,AAC,#9D2235,#FFCD00,#8A8D8F,#C1C6C8,#000000,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Temple_T_logo.svg/212px-Temple_T_logo.svg.png,
Tennessee,Tennessee,Tennessee,SEC,#FF8200,#58595B,#FFFFFF,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Tennessee_Volunteers_logo.svg/240px-Tennessee_Volunteers_logo.svg.png,
Tennessee St.,Tennessee St,Tennessee St,OVC,#00539F,#FFFFFF,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/b/b2/Tennessee_State_Tigers_logo.svg/264px-Tennessee_State_Tigers_logo.svg.png,
Tennessee Tech,Tenn Tech,Tennessee Tech,OVC,#4F2984,#FFDD00,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/f/f8/Tennessee_Tech_Golden_Eagles_logo.svg/315px-Tennessee_Tech_Golden_Eagles_logo.svg.png,
Texas,Texas,Texas,Big 12,#BF5700,#333F48,#FFFFFF,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Texas_Longhorns_logo.svg/320px-Texas_Longhorns_logo.svg.png,
Texas A&M,Texas A&M,Texas A&M,SEC,#500000,#FFFFFF,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Texas_A%26M_University_logo.svg/292px-Texas_A%26M_University_logo.svg.png,
Texas Southern,Texas Southern,TX Southern,SWAC,#6F263D,#A2AAAD,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Texas_Southern_Tigers_logo.svg/254px-Texas_Southern_Tigers_logo.svg.png,
Texas St.,Texas State,Texas St,Sunbelt,#501214,#8D734A,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/9/97/Texas_State_Bobcats_logo.svg/206px-Texas_State_Bobcats_logo.svg.png,
Texas Tech,Texas Tech,Texas Tech,Big 12,#CC0000,#000000,#FFFFFF,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Texas_Tech_Athletics_logo.svg/207px-Texas_Tech_Athletics_logo.svg.png,
The Citadel,The Citadel,Citadel,SoCon,#3975B7,#FFFFFF,,,,,https://upload.wikimedia.org/wikipedia/commons/0/0d/Correct_secondary_logo.png,
Toledo,Toledo,Toledo,MAC,#15397F,#005CB9,#FFDA00,#BEC6C3,#A0ACAA,#000000,https://upload.wikimedia.org/wikipedia/en/thumb/f/fa/Toledo_Rockets_logo.svg/320px-Toledo_Rockets_logo.svg.png,
Towson,Towson,Towson,CAA,#000000,#FFCC00,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Towson_Tigers_logo.svg/320px-Towson_Tigers_logo.svg.png,
Troy,Troy,Troy,Sunbelt,#6D0017,#B2B3B5,#000000,,,,https://upload.wikimedia.org/wikipedia/en/thumb/3/34/Troy_Trojans_logo.svg/213px-Troy_Trojans_logo.svg.png,
Tulane,Tulane,Tulane,AAC,#006747,#43B02A,#418FDE,#000000,,,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Tulane_Green_Wave_logo.svg/320px-Tulane_Green_Wave_logo.svg.png,
Tulsa,Tulsa,Tulsa,AAC,#002D72,#C8102E,#C5B783,#F3D54E,#84754E,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Tulsa_Golden_Hurricane_logo.svg/319px-Tulsa_Golden_Hurricane_logo.svg.png,
UAB,UAB,UAB,C-USA,#006341,#CC8A00,#000000,#BF0D3E,,,https://upload.wikimedia.org/wikipedia/en/thumb/f/ff/UAB_Blazers_logo.svg/283px-UAB_Blazers_logo.svg.png,
UC Davis,UC Davis,UC Davis,Big West,#002855,#B3A369,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/1/13/UC_Davis_Aggies_logo.svg/320px-UC_Davis_Aggies_logo.svg.png,
UC Irvine,UC Irvine,UC Irvine,Big West,#0C2340,#FFC72C,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/UC_Irvine_Anteaters_logo.svg/227px-UC_Irvine_Anteaters_logo.svg.png,
UC Riverside,UC Riverside,UC Riverside,Big West,#2D6CC0,#003066,#F1AB00,#7A6E67,#000000,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/UC_Riverside_Highlanders_logo.svg/240px-UC_Riverside_Highlanders_logo.svg.png,
UC San Diego,UC San Diego,UC San Diego,Big West,#182B49,#C69214,,,,,https://ucsdtritons.com/images/logos/site/site.png,#006A96
UC Santa Barbara,UCSB,UC Santa Barbara,Big West,#004D9F,#FFB814,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/a/a8/UC_Santa_Barbara_Gauchos_logo.svg/320px-UC_Santa_Barbara_Gauchos_logo.svg.png,
UCF,UCF,UCF,AAC,#000000,#B7A369,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/UCF_Knights_logo.svg/299px-UCF_Knights_logo.svg.png,
UCLA,UCLA,UCLA,Pac 12,#2D68C4,#F2A900,#3284BF,#FFE800,,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/UCLA_Bruins_script.svg/320px-UCLA_Bruins_script.svg.png,
UConn,UConn,Connecticut,Big East,#000E2F,#FFFFFF,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/b/b0/Connecticut_Huskies_logo.svg/192px-Connecticut_Huskies_logo.svg.png,
UIC,UIC,IL Chicago,Horizon,#AC1E2D,#041E42,#FACC09,,,,https://upload.wikimedia.org/wikipedia/en/thumb/1/11/UIC_Flames_logo.svg/123px-UIC_Flames_logo.svg.png,
UIW,Incarnate Word,Incarnate Word,Southland,#CB333B,#000000,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/e/ea/Incarnate_Word_Cardinals_logo.svg/320px-Incarnate_Word_Cardinals_logo.svg.png,
ULM,UL Monroe,ULM,Sunbelt,#800029,#BD955A,#646469,#DAD86D,,,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Louisiana-Monroe_Warhawks_logo.svg/320px-Louisiana-Monroe_Warhawks_logo.svg.png,
UMass Lowell,UMass Lowell,MA Lowell,Am. East,#003DA5,#C8102E,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/4/43/UMass_Lowell_River_Hawks_logo.svg/320px-UMass_Lowell_River_Hawks_logo.svg.png,
UMBC,UMBC,UMBC,Am. East,#B18906,#FFC20E,#000000,#ED1C24,,,https://upload.wikimedia.org/wikipedia/en/thumb/c/cc/UMBC_Retrievers_logo.svg/259px-UMBC_Retrievers_logo.svg.png,
UMES,MD-E Shore,MD E Shore,MEAC,#822433,#8B8D8E,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/6/65/Maryland_Eastern_Shore_Hawks_logo.svg/320px-Maryland_Eastern_Shore_Hawks_logo.svg.png,
UNC Asheville,UNC Asheville,UNC Asheville,Big South,#003DA5,#FFFFFF,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/9/93/UNC_Asheville_Bulldogs_logo.svg/320px-UNC_Asheville_Bulldogs_logo.svg.png,
UNC Greensboro,UNCG,UNC Greensboro,SoCon,#0F2044,#FFB71B,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/7/70/UNCG_Spartans_logo.svg/309px-UNCG_Spartans_logo.svg.png,
UNCW,UNC Wilmington,UNC Wilmington,CAA,#006666,#003366,#FFD600,,,,https://upload.wikimedia.org/wikipedia/en/thumb/6/6f/UNC_Wilmington_Seahawks_logo.svg/211px-UNC_Wilmington_Seahawks_logo.svg.png,
UNI,Northern Iowa,Northern Iowa,MVC,#4B116F,#FFCC00,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/8/86/Northern_Iowa_Panters_logo.svg/320px-Northern_Iowa_Panters_logo.svg.png,
UNLV,UNLV,UNLV,MWC,#B10202,#666666,#000000,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/UNLV_Rebels_wordmark.svg/320px-UNLV_Rebels_wordmark.svg.png,
USC Upstate,USC Upstate,SC Upstate,Big South,#00703C,#000000,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/USC_Upstate_Spartans_logo.svg/320px-USC_Upstate_Spartans_logo.svg.png,
UT Arlington,UT Arlington,UT Arlington,Sunbelt,#F58025,#0064B1,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/3/35/UT_Arlington_Mavericks_logo.svg/310px-UT_Arlington_Mavericks_logo.svg.png,
UT Martin,UT Martin,TN Martin,OVC,#002649,#F77F00,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/2/2c/UT_Martin_Skyhawks_logo.svg/299px-UT_Martin_Skyhawks_logo.svg.png,
Utah,Utah,Utah,Pac 12,#CC0000,#808080,#000000,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Utah_Utes_logo.svg/263px-Utah_Utes_logo.svg.png,
Utah St.,Utah State,Utah St,MWC,#0F2439,#FFFFFF,#9D968D,#000000,,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Utah_State_Aggies_logo.svg/317px-Utah_State_Aggies_logo.svg.png,
Utah Valley,Utah Valley,Utah Valley,WAC,#275D38,#000000,#8E8C89,,,,https://upload.wikimedia.org/wikipedia/en/thumb/c/c8/Utah_Valley_Wolverines_logo.svg/320px-Utah_Valley_Wolverines_logo.svg.png,
UTEP,UTEP,UTEP,C-USA,#FF8200,#041E42,#B1B3B3,,,,https://upload.wikimedia.org/wikipedia/en/thumb/0/06/UTEP_Miners_logo.svg/238px-UTEP_Miners_logo.svg.png,
UTRGV,UT Rio Grande,UTRGV,WAC,#FFA300,#F05023,#00843D,#0C2340,,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Texas%E2%80%93Rio_Grande_Valley_Vaqueros_logo.svg/320px-Texas%E2%80%93Rio_Grande_Valley_Vaqueros_logo.svg.png,
UTSA,UTSA,UT San Antonio,C-USA,#F15A22,#0C2340,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/UTSA_Roadrunners_logo.svg/320px-UTSA_Roadrunners_logo.svg.png,
Valparaiso,Valparaiso,Valparaiso,MVC,#381E0E,#613318,#FFCC00,,,,https://upload.wikimedia.org/wikipedia/en/thumb/a/ac/Valparaiso_Crusaders_logo.svg/228px-Valparaiso_Crusaders_logo.svg.png,
